"Date","Species","Strain","TimePoint","Media","GrowthOD"
240322,"Cpr","KPL3953",0,"5p",0.04
240322,"Cps","KPL4412",0,"5p",0.035
240322,"Cac","KPL4419",0,"5p",0.054
240322,"Ctu","KPL4448",0,"5p",0.051
240322,"Cgl","ATCC_13032",0,"5p",0.63
240322,"Cpr","KPL3953",24,"5p",6.42
240322,"Cps","KPL4412",24,"5p",4.82
240322,"Cac","KPL4419",24,"5p",11.9
240322,"Ctu","KPL4448",24,"5p",11.42
240322,"Cgl","ATCC_13032",24,"5p",17.66
240322,"Cpr","KPL3953",28,"5p",6.6
240322,"Cps","KPL4412",28,"5p",5
240322,"Cac","KPL4419",28,"5p",12.92
240322,"Ctu","KPL4448",28,"5p",13.7
240322,"Cgl","ATCC_13032",28,"5p",18.2
240322,"Cpr","KPL3953",32,"5p",6.46
240322,"Cps","KPL4412",32,"5p",5.02
240322,"Cac","KPL4419",32,"5p",12.26
240322,"Ctu","KPL4448",32,"5p",14.9
240322,"Cgl","ATCC_13032",32,"5p",18.24
240322,"Cpr","KPL3953",48,"5p",6.6
240322,"Cps","KPL4412",48,"5p",4
240322,"Cac","KPL4419",48,"5p",11.7
240322,"Ctu","KPL4448",48,"5p",12.54
240322,"Cgl","ATCC_13032",48,"5p",16.54
