name,genus ,species
Cac_ATCC_49725,Corynebacterium,accolens
Cac_ATCC_49726,Corynebacterium,accolens
Cac_MSK070,Corynebacterium,accolens
Cac_MSK096,Corynebacterium,accolens
Cac_MSK109,Corynebacterium,accolens
Cac_MSK121,Corynebacterium,accolens
Cac_MSK161,Corynebacterium,accolens
Cac_MSK270,Corynebacterium,accolens
Cac_MSK273,Corynebacterium,accolens
Cac_MSK075,Corynebacterium,accolens
Cac_MSK076,Corynebacterium,accolens
Cac_MSK079,Corynebacterium,accolens
Cac_KPL1818,Corynebacterium,accolens
Cac_KPL1824,Corynebacterium,accolens
Cac_KPL1996,Corynebacterium,accolens
Cac_KPL2617,Corynebacterium,accolens
Cac_KPL2618,Corynebacterium,accolens
Cac_KPL2641,Corynebacterium,accolens
Cac_KPL2652,Corynebacterium,accolens
Cac_KPL2660,Corynebacterium,accolens
Cac_KPL2783,Corynebacterium,accolens
Cac_KPL2859,Corynebacterium,accolens
Cac_KPL3647,Corynebacterium,accolens
Cac_KPL3674,Corynebacterium,accolens
Cac_KPL3703,Corynebacterium,accolens
Cac_KPL3774,Corynebacterium,accolens
Cac_KPL3802,Corynebacterium,accolens
Cac_KPL3832,Corynebacterium,accolens
Cac_KPL3921,Corynebacterium,accolens
Cac_KPL3926,Corynebacterium,accolens
Cac_KPL3970,Corynebacterium,accolens
Cac_KPL4034,Corynebacterium,accolens
Cac_KPL4065,Corynebacterium,accolens
Cac_KPL4075,Corynebacterium,accolens
Cma_CCUG_32361,Corynebacterium,macgenleyi
