name,genus,species
Cps_090104,Corynebacterium,pseudodiphtheriticum
Cps_MSK092,Corynebacterium,pseudodiphtheriticum
Cps_MSK110,Corynebacterium,pseudodiphtheriticum
Cps_MSK118,Corynebacterium,pseudodiphtheriticum
Cps_MSK127,Corynebacterium,pseudodiphtheriticum
Cps_MSK141,Corynebacterium,pseudodiphtheriticum
Cps_MSK164,Corynebacterium,pseudodiphtheriticum
Cps_MSK166,Corynebacterium,pseudodiphtheriticum
Cps_MSK172,Corynebacterium,pseudodiphtheriticum
Cps_MSK184,Corynebacterium,pseudodiphtheriticum
Cps_MSK188,Corynebacterium,pseudodiphtheriticum
Cps_MSK198,Corynebacterium,pseudodiphtheriticum
Cps_MSK223,Corynebacterium,pseudodiphtheriticum
Cps_MSK238,Corynebacterium,pseudodiphtheriticum
Cps_MSK283,Corynebacterium,pseudodiphtheriticum
Cps_MSK300,Corynebacterium,pseudodiphtheriticum
Cps_MSK305,Corynebacterium,pseudodiphtheriticum
Cps_MSK311,Corynebacterium,pseudodiphtheriticum
Cps_DSM_44287,Corynebacterium,pseudodiphtheriticum
Cps_MSK080,Corynebacterium,pseudodiphtheriticum
Cps_HSID17575,Corynebacterium,pseudodiphtheriticum
Cps_HSID17576,Corynebacterium,pseudodiphtheriticum
Cps_KPL1989,Corynebacterium,pseudodiphtheriticum
Cps_KPL2621,Corynebacterium,pseudodiphtheriticum
Cps_KPL2640,Corynebacterium,pseudodiphtheriticum
Cps_KPL2667,Corynebacterium,pseudodiphtheriticum
Cps_KPL2733,Corynebacterium,pseudodiphtheriticum
Cps_KPL2773,Corynebacterium,pseudodiphtheriticum
Cps_KPL2795,Corynebacterium,pseudodiphtheriticum
Cps_KPL2826,Corynebacterium,pseudodiphtheriticum
Cps_KPL2834,Corynebacterium,pseudodiphtheriticum
Cps_KPL2865,Corynebacterium,pseudodiphtheriticum
Cps_KPL2915,Corynebacterium,pseudodiphtheriticum
Cps_KPL3671,Corynebacterium,pseudodiphtheriticum
Cps_KPL3702,Corynebacterium,pseudodiphtheriticum
Cps_KPL3770,Corynebacterium,pseudodiphtheriticum
Cps_KPL3772,Corynebacterium,pseudodiphtheriticum
Cps_KPL3833,Corynebacterium,pseudodiphtheriticum
Cps_KPL3966,Corynebacterium,pseudodiphtheriticum
Cps_KPL4010,Corynebacterium,pseudodiphtheriticum
Cps_KPL4025,Corynebacterium,pseudodiphtheriticum
Cps_KPL4041,Corynebacterium,pseudodiphtheriticum
Cps_KPL4066,Corynebacterium,pseudodiphtheriticum
Cpr_DSM_44285,Corynebacterium,propinquum
